Well Id,Oil_prod,Water_prod
211/29-C51,146162,122257
211/29-C53,7891,2261
211/29-C6,17147,17147
211/29-C7,101303,7990
211/29-C8,3180487,1666466
211/29-C9,5396951,2039962
211/29-D1,11158964,5314643
211/29-D10,369695,265543
211/29-D11,326824,141686
211/29-D12,55136,55136
211/29-D13,6454394,1491399
211/29-D14,2455336,702682
211/29-D15,12810,12810
211/29-D16,669453,298277
211/29-D17,34484,34484
211/29-D18,2646281,1906360
211/29-D19,8134372,1211020
211/29-D2,2808757,1153313
211/29-D20,8118172,3600331
211/29-D21,9797,9797
211/29-D22,16433,16433
211/29-D23,8391011,3220657
211/29-D24,4612844,1782311
211/29-D25,5271400,2667205
211/29-D25Z,4738076,4015266
211/29-D26,4896853,3133351
211/29-D27,355761,244920
211/29-D28,2911105,1376699
211/29-D29,270170,129983
211/29-D2Y,358326,241625
211/29-D3,636929,207156
211/29-D30,3389324,1136561
211/29-D31,2865753,717299
211/29-D32,0,0
211/29-D33,5466227,2768074
211/29-D34,1047491,541397
211/29-D35,7019,6797
211/29-D36,3304526,2019476
211/29-D36Z,2750951,2444747
211/29-D37,3643051,1337006
211/29-D38,5123502,4286348
211/29-D39,3419820,2854412
211/29-D39Z,1600694,86310
211/29-D4,11116917,3804982
211/29-D41,599296,546160
211/29-D42,1033578,432826
211/29-D43,919397,519910
211/29-D43Z,3032434,2406227
211/29-D44,947466,743350
211/29-D45,13770,10364
211/29-D46,255520,27398
211/29-D47,1480500,1334539
211/29-D48,332886,258114
211/29-D49,112067,71630
211/29-D5,4791984,3395706
211/29-D50Z,1473543,1139989
211/29-D51,681395,647670
211/29-D52,286817,162377
211/29-D53,88082,734
211/29-D54,343660,215427
211/29-D6,10391111,6094885
211/29-D7,7032411,1552624
211/29-D8,5499476,3169609
211/29-D9,6010931,2128973
22/06a-E3Z,380468,232581
22/06a-E7,531573,420901
3/03-C61,150056,322
3/04a-E1Z,3277990,2493296
3/04a-E2,2703378,2045278
3/08-S49,1122913,540071
3/08-S51,941151,5055
3/08-S53,161131,12
3/08-S54,39283,5
3/08-S55,447135,273
3/08-S57,627,0
3/08-S58,673651,272396
3/08-S61,77517,142
30/17b-A1,8070226,3083015
30/17b-A10,1912711,1350714
30/17b-A11,389041,870
30/17b-A12,128459,19055
30/17b-A14,106,106
30/17b-A15,46798,327
30/17b-A16,42124,19
30/17b-A18,235724,5927
30/17b-A19,1750532,1169321
30/17b-A2,3303710,617074
30/17b-A20,11252223,9150705
30/17b-A22,1451077,505254
30/17b-A23,613113,131643
30/17b-A24,919296,372850
30/17b-A25,1988837,1677026
30/17b-A27,2092469,1379423
30/17b-A28,424656,2129
30/17b-A29,295879,68904
30/17b-A3,11812,1069
30/17b-A30,122619,938
30/17b-A31,127324,119176
30/17b-A4,1671505,1045880
30/17b-A5,2535305,1328205
30/17b-A6,0,0
30/17b-A7,314200,35575
30/17b-A8,306200,10022
30/17b-A9,1484624,545286
9/08a-B2Z,26040,7527
9/08a-B3Z,7828,7828
9/08a-B4Z,4366,4366
9/08a-B5,135427,1747
9/08a-B6,45846,209
9/09a-A1,68617,28087
9/09a-A10,13348,117
9/09a-A10Y,379,142
9/09a-A10Z,11942,167
9/09a-A11,747178,13836
9/09a-A12,17078,17078
9/09a-A12Z,8495,8495
9/09a-A13,2633941,508764
9/09a-A14,27932,15648
