WELLREGNO,TOPHOLEYDD,TOPHOLEXDD,QUADRANTNO,BLOCKNO,DATUMELEV,WATERDEPTH,Oilp_80_95,Watp_80_95,Oilp_95_10,Watp_95_10,Zone
21/18- 1A,57.33825,0.466916667,21,18,86,277,94914.9,94914.9,123389.37,123389.37,F
21/18- 4,57.47180556,0.545611111,21,18,82,289,4228519.5,231265.8,5497075.35,300645.54,F
21/18- 8,57.41816667,0.476277778,21,18,90,275,0,0,0,0,F
21/19- 1,57.47930556,0.621583333,21,19,85,285,16928532.9,11162617.2,22007092.77,14511402.36,F
21/19- 2,57.39397222,0.6345,21,19,90,291,72281.7,3885.3,93966.21,5050.89,F
21/20a- 2,57.37143889,0.815022222,21,20,83,308,500567.4,95335.2,650737.62,123935.76,F
21/20b- 4,57.40269722,0.879713889,21,20,85,307,6801439.5,721216.8,8841871.35,937581.84,F
21/22- 1,57.32533333,0.205,21,22,83,346,1577142.9,639847.8,2050285.77,831802.14,F
21/23b- 2B,57.28741389,0.431677778,21,23,82,282,0,0,0,0,F
29/05a- 3,56.84709444,1.823969444,29,5,86,307,708624.9,401621.4,921212.37,522107.82,F
29/05a- 5,56.83646667,1.847830556,29,5,86,306,0,0,0,0,F
29/01b- 1,56.84666667,1.117083333,29,1,100,311,610668.9,438391.8,793869.57,569909.34,F
29/01b- 3,56.84072222,1.103111111,29,1,90,307,11129085.9,9900367.2,14467811.67,12870477.36,F
29/01c- 4,56.98748056,1.130283333,29,1,86,280,2260953,186962.4,2939238.9,243051.12,F
29/02- 1Z,56.94552778,1.327638889,29,2,77,310,0,0,0,0,F
29/02a- 3,56.83527778,1.283694444,29,2,85,314,610668.9,438391.8,793869.57,569909.34,F
29/02a- 6,56.98983333,1.31825,29,2,82,293,11129085.9,9900367.2,14467811.67,12870477.36,F
29/02a- 7,56.98605833,1.314330556,29,2,82,296,170460.9,58881.6,221599.17,76546.08,F
26/07- 1,56.78272222,-1.692444444,26,7,82,212.8,0,0,0,0,F
26/12- 1,56.56876167,-1.708355833,26,12,121,144,2260953,186962.4,2939238.9,243051.12,F
26/14- 1,56.60305,-1.353183333,26,14,82,225,45,0,58.5,0,F
27/10- 1,56.70822778,-0.025266667,27,10,94,262,75998.7,7843.5,98798.31,10196.55,F
28/04b- 1,56.95683333,0.62625,28,4,85,308,1920870,1168715.7,2497131,1519330.41,F
28/05- 1,56.92121944,0.806130556,28,5,79,311,4236648.3,1460518.2,5507642.79,1898673.66,F
28/05a- 3,56.88861944,0.967530556,28,5,124,312,2112445.8,23319,2746179.54,30314.7,F
28/05a- 4,56.94613333,0.978777778,28,5,82,311,3545007.3,388239.3,4608509.49,504711.09,F
23/26b- 14,57.03986778,2.071376944,23,26,74,299,142880.4,16822.8,185744.52,21869.64,F
23/26b- 15,57.02244444,2.047461111,23,26,74,297,269606.7,133.2,350488.71,173.16,F
23/27- 2,57.06069444,2.268722222,23,27,85,257,1698104.7,1187002.8,2207536.11,1543103.64,F
23/27- 4,57.16013333,2.308408889,23,27,77,271,269606.7,133.2,350488.71,173.16,F
23/27- 5,57.15277778,2.318638889,23,27,84,279,1698104.7,1187002.8,2207536.11,1543103.64,F
23/27- 7,57.05141667,2.302638889,23,27,85,261,423309.6,29349.9,550302.48,38154.87,F
23/27- 8,57.14865833,2.264183333,23,27,82,266,610668.9,438391.8,793869.57,569909.34,F
23/27- 9,57.16497222,2.286611111,23,27,140,272,2834397,495,3684716.1,643.5,F
16/26- 10,58.03641583,1.1097325,16,26,85,448,832797,151.2,1082636.1,196.56,F
16/26- 12,58.01291667,1.119,16,26,80,430,610668.9,438391.8,793869.57,569909.34,F
16/22- 5,58.25255556,1.348527778,16,22,82,387,3268665,2263569.3,4249264.5,2942640.09,F
16/23- 1,58.23668333,1.587869444,16,23,113,337,3268665,2263569.3,4249264.5,2942640.09,F
30/29a- 2,56.15302778,2.671083333,30,29,100,264,170460.9,58881.6,221599.17,76546.08,F
31/26- 5,56.13733333,3.066861111,31,26,85,234,170460.9,58881.6,221599.17,76546.08,F
16/22- 8,58.25409139,1.236459444,16,22,82,439,3268665,2263569.3,4249264.5,2942640.09,F
16/23- 3,58.21043333,1.553888889,16,23,82,341,0,0,0,0,F
16/23- 5,58.29925,1.536333333,16,23,80,358,0,0,0,0,F
16/24a- 1,58.25538889,1.609638889,16,24,80,340,170460.9,58881.6,221599.17,76546.08,F
16/26- 23,58.04866667,1.050283333,16,26,82,455,2804.4,2804.4,3645.72,3645.72,F
16/26- 4,58.12588056,1.074183333,16,26,85,468,11150640,7273044,14495832,9454957.2,F
16/21b- 25,58.27593056,1.007538889,16,21,86,485,0,0,0,0,F
16/21b- 4A,58.21110278,1.176111111,16,21,82,472,9190610.1,7516496.7,11947793.13,9771445.71,F
16/21b- 9,58.21680556,1.038361111,16,21,74,482,0,0,0,0,F
16/21b- 14,58.22677778,1.060916667,16,21,83,477,1005.3,0,1306.89,0,F
